10  10
         0         0    0.0001    0.0021    0.0090    0.0180    0.0226    0.0194    0.0107    0.0030    0.0002
         0    0.0003    0.0054    0.0217    0.0397    0.0479    0.0497    0.0486    0.0421    0.0256    0.0077
    0.0000    0.0042    0.0218    0.0403    0.0406    0.0319    0.0274    0.0306    0.0391    0.0422    0.0261
    0.0009    0.0128    0.0303    0.0268    0.0102    0.0020    0.0003    0.0014    0.0079    0.0243    0.0321
    0.0027    0.0160    0.0200    0.0069    0.0003    0.0000         0         0    0.0001    0.0052    0.0191
    0.0028    0.0097    0.0077    0.0009    0.0000         0         0         0         0    0.0005    0.0071
   -0.0001   -0.0000    0.0001    0.0000         0         0         0         0         0   -0.0000   -0.0001
   -0.0034   -0.0100   -0.0072   -0.0006         0         0         0         0         0   -0.0009   -0.0078
   -0.0036   -0.0177   -0.0191   -0.0052   -0.0002         0         0         0   -0.0003   -0.0069   -0.0199
   -0.0015   -0.0159   -0.0320   -0.0243   -0.0079   -0.0013   -0.0003   -0.0020   -0.0101   -0.0268   -0.0303
   -0.0001   -0.0062   -0.0261   -0.0422   -0.0393   -0.0305   -0.0274   -0.0319   -0.0404   -0.0403   -0.0220
